OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
77,17040500060004,Cass,1,RES1,93,46,1,845,2,4.9,1,5.94375,58.662498,63.662498,60,30,0,90,Cass County,Cass County 2 - ACE 0.2%,10.71875,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
78,17040500060002,Cass,4,AGR1,105,105,1,950,7,0,1,9.65625,49.28125,75.65625,50,80,11250,11380,Cass County,Cass County 2 - ACE 0.2%,9.65625,ACE 0.2,100,11248,DEPTH_ACE02_ILRIVER
79,17040500060007,Cass,1,RES1,38,19,1,346,6,3.72,1,5.74875,57.4925,62.4925,20,10,0,30,Cass County,Cass County 2 - ACE 0.2%,9.46875,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
80,17040500060003,Cass,1,RES1,141,70,1,1282,2,7.32,1,5.1175,53.704998,58.704998,80,40,0,120,Cass County,Cass County 2 - ACE 0.2%,12.4375,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
81,17040500060005,Cass,1,RES1,76,38,1,691,7,0,2,11.1875,75.375,78.375,60,30,0,90,Cass County,Cass County 2 - ACE 0.2%,11.1875,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
82,17040460150001,Cass,4,AGR1,2817,2817,1,1887,7,0,1,9.446259,48.231293,75.446259,1360,2120,22340,25820,Cass County,Cass County 3 - ACE 0.2%,9.665009,ACE 0.2,100,22342,DEPTH_ACE02_ILRIVER
83,17040470150001,Cass,4,AGR1,750,750,1,2411,7,0,2,8.602509,44.012543,73.012543,330,550,28550,29430,Cass County,Cass County 2 - ACE 0.2%,8.602509,ACE 0.2,100,28546,DEPTH_ACE02_ILRIVER
84,17040490130003,Cass,1,RES1,31997,15998,1,312,2,7.13,1,3.12,40.84,44.959999,13070,7190,0,20260,Cass County,Cass County 2 - ACE 0.2%,10.25,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
85,17040490130002,Cass,1,RES1,152657,76328,1,1491,2,10,1,3.5,43.5,48,66410,36640,0,103050,Cass County,Cass County 2 - ACE 0.2%,13.5,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
86,17040490130001,Cass,1,RES1,106993,53496,1,1045,4,5.08,1,5.8575,64.145004,31.715,68630,16970,0,85600,Cass County,Cass County 2 - ACE 0.2%,10.9375,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
87,17040460110003,Cass,4,AGR1,268,268,1,1932,7,-0.2,2,11.521258,60.127552,76,160,200,22880,23240,Cass County,Cass County 3 - ACE 0.2%,11.321259,ACE 0.2,100,22875,DEPTH_ACE02_ILRIVER
88,17040460110001,Cass,1,RES3A,336,168,2,2419,7,9.34,1,-2.049992,0,0,0,0,0,0,Cass County,Cass County 3 - ACE 0.2%,7.290009,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
89,17040490010001,Cass,1,RES1,29685,14842,1,988,4,8.27,1,-0.80125,20.391247,13.596249,6050,2020,0,8070,Cass County,Cass County 2 - ACE 0.2%,7.46875,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
90,17040490030002,Cass,1,RES1,37431,18716,2,1708,4,3.86,1,-0.76625,15.168751,9.870001,5680,1850,0,7530,Cass County,Cass County 2 - ACE 0.2%,3.09375,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
91,17040480110101,Cass,1,RES1,64364,64364,1,628,2,8.05,1,2.79375,38.349998,42.349998,24680,27260,0,51940,Cass County,Cass County 2 - ACE 0.2%,10.84375,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
